Route,Line from,Line to,ID from,ID to,Distance,Polyline
7,21,21,3,4,150,ivfrAybldRqFhB
7,21,21,4,5,600,{}frAo_ldR}E`BaEv@yElAoCv@}B`@kAN
7,21,21,5,6,900,o|grA}tkdR{Cn@oAPq@n@wBrEqArCeAfDeBkAm@YsFe@wFm@oA?
7,21,21,6,7,210,mdirAufkdRi@AqAW}DCq@W
7,21,21,7,8,3300,yoirAkhkdRqASiDgBiBmAgIgEyGgCiGuD_HeEuE{BgHmCkIcCeMcDyH{A{HmB}F}AsH{Bs@Q{ClFmC|E}CdGuC~EyDlHKb@
7,21,2,8,1,1000,{gnrAe|kdR
7,2,2,1,2,8000,{gnrAe|kdRsIfOyFlKwDhGqGbKuD|F_FbIiAdDIx@l@pBfA`DbClK`CdOtDvSzAzJtAjJlBnN|CjQhBpIv@`DzD|IbHlN~EjJ~InQjJrRbFtI~HpOrGtMlHxNzGjMtClG~FzKLR
7,2,2,5,6,8700,kpkrAmc`dRkKiSyGeMoJ{QoKmTsDcHgLsT{EsJcE}HgFeKwHeOuBiEyCqImBmHgCaP{C}PkB{KiB{L}@cFuAiJyBmM_C{LC{@eBoCWu@OmCzBqDjCoE|AgCfBsCjBmClDqFjCiE~DyGvD_HpEmIvBsD
7,2,21,6,23,500,oinrAk{kdR
7,21,21,23,24,3500,uinrA}{kdRHHvCcGtD_HnDsGpBgDjCkF`AmBdH~B|@\pEdAbEhAbEbA`F~@tHfBjG~A~HfCvHpCtAp@hIvEhFhDbCfAhInDfFfCvCjBrAx@r@JhBn@lDBn@H
7,21,21,24,25,1000,kgirAugkdRp@PnAAbHr@|Ff@~BxA~@cDb@cAnDgHv@m@`BWxB[
7,21,21,25,26,550,_}grAaukdRdB_@~Ba@~IcCvCe@bA]tC{@
7,21,21,26,27,160,g_grAg_ldRfEqA~@]
7,21,21,27,28,2500,_wfrAwbldRbH_CxGwBlFqAdBa@|Dw@pCaAbIeB~NeDj@UfCwB|BkBjD}CxEoGdCiDfA_AfF_ExB_BxAg@vF}@NnE
7,21,21,28,29,6500,occrAq|mdRGsEv@IvEGpHc@vBC\^bRhKx@B|CmB|G_FvBoApNwF|DmBvCoAtQiIrJsJ`Ac@xMwChLyChNsDhAg@bJaFvL{GvG{DdFwCvMsBfG}@jLwAlEe@hDyBfBeCh^qRIiAcAiA}@uAJI
8,21,21,1,2,5900,qfzqA}`rdRKFrArBn@v@FfAqEbCaFjCoH|DaGbDuB`CcDvBqZ|DkNvB}[dRmKzFg`@`KaKrBsMxLcQzH_IvDgLjE}DxBuJxG_Br@sAk@wHeEyG}DcEX_I\@`C
8,21,21,2,3,2600,a~brA{~mdROaCuCJuG~@iAb@iD`CeF|DmGpImBfCuGtFcDlC{FvA{NbDoFzAoDv@{IrBeErAaK|C
8,21,21,3,4,150,ivfrAybldRqFhB
8,21,21,4,5,600,{}frAo_ldR}E`BaEv@yElAoCv@}B`@kAN
8,21,21,5,6,900,o|grA}tkdR{Cn@oAPq@n@wBrEqArCeAfDeBkAm@YsFe@wFm@oA?
8,21,21,6,7,210,mdirAufkdRi@AqAW}DCq@W
8,21,21,7,8,3300,yoirAkhkdRqASiDgBiBmAgIgEyGgCiGuD_HeEuE{BgHmCkIcCeMcDyH{A{HmB}F}AsH{Bs@Q{ClFmC|E}CdGuC~EyDlHKb@
8,21,140,8,3,500,{gnrAe|kdR
8,140,140,3,4,7400,{gnrAe|kdRsIfOyFlKwDhGqGbKuD|F_FbIiAdDIx@l@pBfA`DbClK`CdOtDvSzAzJtAjJlBnN|CjQhBpIv@`DzD|IbHlN~EjJ~InQjJrRbFtI~HpOrGtMlHxNzGjMtClG~FzKLR
